"Date","Performed_Tests","Total_tests_per_thousand","Daily_Tests","New_tests_per_thousand","Confirmed_cases","Total_cases_per_million","Active_cases","New_daily_cases","New_cases_per_million","Positive_rate","Hospitalized","Hosp_patients_per_million","In_ICU","ICU_patients_per_million","Recovered","Daily_recovered","Deaths","Total_deaths_per_million","Daily_deaths","New_deaths_per_million","Reproduction_rate","Total_vaccinations","People_vaccinated","People_fully_vaccinated","New_vaccinations","Total_vaccinations_per_hundred","People_vaccinated_per_hundred","People_fully_vaccinated_per_hundred"
2020-11-12,826152,118.897,10830,1.559,87311,13056.878,58699,3945,491.333,0.336,4478,644.461,276,39.721,26714,915,1898,283.517,47,10.362,1.16,NA,NA,NA,NA,NA,NA,NA
2020-11-13,835037,120.176,8885,1.279,90725,13663.057,61168,3414,606.179,0.354,4768,686.197,284,40.872,27587,873,1970,295.75,72,12.233,1.15,NA,NA,NA,NA,NA,NA,NA
2020-11-14,847450,121.963,12413,1.786,94937,14022.562,64613,4212,359.505,0.365,4949,712.246,288,41.448,28269,682,2055,300.931,85,5.181,1.14,NA,NA,NA,NA,NA,NA,NA
2020-11-15,853900,122.891,6450,0.928,97435,14139.998,66539,2498,117.436,0.381,5166,743.476,295,42.456,28805,536,2091,306.543,36,5.613,1.12,NA,NA,NA,NA,NA,NA,NA
2020-11-16,856616,123.282,2716,0.391,98251,14646.442,66746,816,506.444,0.373,5247,755.133,293,42.168,29375,570,2130,328.419,39,21.875,1.1,NA,NA,NA,NA,NA,NA,NA
2020-11-17,864550,124.424,7934,1.142,101770,15341.274,69171,3519,694.832,0.385,5353,770.388,288,41.448,30317,942,2282,347.272,152,18.853,1.09,NA,NA,NA,NA,NA,NA,NA
2020-11-18,876161,126.095,11611,1.671,106598,15908.02,72649,4828,566.746,0.382,5463,786.219,303,43.607,31536,1219,2413,364.11,131,16.838,1.07,NA,NA,NA,NA,NA,NA,NA
2020-11-19,886110,127.526,9949,1.432,110536,16469.152,75526,3938,561.133,0.395,5629,810.109,313,45.046,32480,944,2530,381.236,117,17.126,1.06,NA,NA,NA,NA,NA,NA,NA
2020-11-20,896421,129.01,10311,1.484,114435,17042.374,78459,3899,573.222,0.383,5878,845.945,344,49.507,33327,847,2649,399.802,119,18.565,1.04,NA,NA,NA,NA,NA,NA,NA
2020-11-21,906207,130.419,9786,1.408,118418,17370.361,81252,3983,327.987,0.396,5942,855.155,383,55.12,34388,1061,2778,405.846,129,6.045,1.03,NA,NA,NA,NA,NA,NA,NA
2020-11-22,911936,131.243,5729,0.825,120697,17531.98,82125,2279,161.619,0.406,6193,891.279,408,58.718,35752,1364,2820,414.481,42,8.635,1.02,NA,NA,NA,NA,NA,NA,NA
2020-11-23,914723,131.644,2787,0.401,121820,17984.743,82416,1123,452.763,0.399,6350,913.874,408,58.718,36524,772,2880,441.682,60,27.2,1,NA,NA,NA,NA,NA,NA,NA
2020-11-24,921967,132.687,7244,1.043,124966,18615.388,83671,3146,630.645,0.396,6270,902.36,399,57.423,38226,1702,3069,464.277,189,22.595,0.98,NA,NA,NA,NA,NA,NA,NA
2020-11-25,932441,134.194,10474,1.507,129348,19149.608,86020,4382,534.22,0.4,6365,916.032,392,56.416,40102,1876,3226,484.569,157,20.292,0.97,NA,NA,NA,NA,NA,NA,NA
2020-11-26,941261,135.464,8820,1.269,133060,19663.104,87073,3712,513.496,0.402,6548,942.369,410,59.006,42620,2518,3367,507.883,141,23.315,0.96,NA,NA,NA,NA,NA,NA,NA
2020-11-27,950354,136.772,9093,1.309,136628,20141.917,88224,3568,478.812,0.399,6655,957.768,430,61.884,44875,2255,3529,529.615,162,21.731,0.95,NA,NA,NA,NA,NA,NA,NA
2020-11-28,959533,138.093,9179,1.321,139955,20399.816,89535,3327,257.899,0.395,6647,956.617,436,62.748,46740,1865,3680,539.545,151,9.93,0.94,NA,NA,NA,NA,NA,NA,NA
2020-11-29,964461,138.802,4928,0.709,141747,20506.171,90219,1792,106.355,0.393,6830,982.954,431,62.028,47779,1039,3749,548.9,69,9.355,0.94,NA,NA,NA,NA,NA,NA,NA
2020-11-30,966426,139.085,1965,0.283,142486,20911.154,90078,739,404.983,0.393,6869,988.567,430,61.884,48594,815,3814,580.705,65,31.806,0.93,NA,NA,NA,NA,NA,NA,NA
2020-12-01,973251,140.067,6825,0.982,145300,21411.265,90700,2814,500.112,0.379,6783,976.19,457,65.77,50565,1971,4035,602.725,221,22.019,0.93,NA,NA,NA,NA,NA,NA,NA
2020-12-02,982307,141.371,9056,1.303,148775,21862.877,91587,3475,451.612,0.378,6635,954.89,493,70.951,53000,2435,4188,625.608,153,22.883,0.93,NA,NA,NA,NA,NA,NA,NA
2020-12-03,990785,142.591,8478,1.22,151913,22334.925,92360,3138,472.048,0.375,6635,954.89,523,75.269,55206,2206,4347,648.059,159,22.451,0.94,NA,NA,NA,NA,NA,NA,NA
2020-12-04,999867,143.898,9082,1.307,155193,22855.042,93549,3280,520.116,0.381,6766,973.743,523,75.269,57141,1935,4503,669.214,156,21.156,0.95,NA,NA,NA,NA,NA,NA,NA
2020-12-05,1009397,145.269,9530,1.372,158807,23148.201,94480,3614,293.159,0.383,6744,970.577,504,72.534,59677,2536,4650,680.584,147,11.369,0.95,NA,NA,NA,NA,NA,NA,NA
2020-12-06,1015383,146.131,5986,0.861,160844,23231.241,95442,2037,83.04,0.372,6959,1001.519,516,74.261,60673,996,4729,690.37,79,9.786,0.94,NA,NA,NA,NA,NA,NA,NA
2020-12-07,1016807,146.336,1424,0.205,161421,23629.028,94378,577,397.787,0.375,7000,1007.42,516,74.261,62246,1573,4797,721.025,68,30.654,0.93,NA,NA,NA,NA,NA,NA,NA
2020-12-08,1023067,147.237,6260,0.901,164185,24201.818,93559,2764,572.79,0.389,6821,981.658,523,75.269,65616,3370,5010,742.037,213,21.012,0.92,NA,NA,NA,NA,NA,NA,NA
2020-12-09,1032782,148.635,9715,1.398,168165,24680.774,93981,3980,478.956,0.388,6839,984.249,514,73.973,69028,3412,5156,760.314,146,18.277,0.91,NA,NA,NA,NA,NA,NA,NA
2020-12-10,1041360,149.87,8578,1.235,171493,25123.319,94132,3328,442.545,0.383,6998,1007.132,544,78.291,72078,3050,5283,777.872,127,17.558,0.89,NA,NA,NA,NA,NA,NA,NA
2020-12-11,1049830,151.088,8470,1.219,174568,25569.03,93931,3075,445.711,0.377,7084,1019.509,542,78.003,75232,3154,5405,800.467,122,22.595,0.87,NA,NA,NA,NA,NA,NA,NA
2020-12-12,1058417,152.324,8587,1.236,177665,25754.251,92581,3097,185.221,0.369,7151,1029.151,588,84.623,79522,4290,5562,809.678,157,9.211,0.84,NA,NA,NA,NA,NA,NA,NA
2020-12-13,1062824,152.959,4407,0.634,178952,25825.778,91569,1287,71.527,0.38,7224,1039.657,595,85.631,81757,2235,5626,818.6,64,8.923,0.82,NA,NA,NA,NA,NA,NA,NA
2020-12-14,1064458,153.194,1634,0.235,179449,26127.285,90041,497,301.506,0.364,7244,1042.535,590,84.911,83720,1963,5688,840.188,62,21.588,0.79,NA,NA,NA,NA,NA,NA,NA
2020-12-15,1069756,NA,5298,NA,181544,26522.049,90128,2095,394.765,0.337,7045,1013.896,580,83.472,85578,1858,5838,864.222,150,24.034,0.76,NA,NA,NA,NA,NA,NA,NA
2020-12-16,1077493,155.07,7737,NA,184287,26803.983,90347,2743,281.934,0.33,6997,1006.988,582,83.76,87935,2357,6005,891.71,167,27.488,0.74,NA,NA,NA,NA,NA,NA,NA
2020-12-17,1083606,155.949,6113,0.88,186246,27097.861,89540,1959,293.879,0.325,7034,1012.313,570,82.033,90510,2575,6196,912.29,191,20.58,0.73,NA,NA,NA,NA,NA,NA,NA
2020-12-18,1090431,156.932,6825,0.982,188288,27348.133,88221,2042,250.272,0.304,6900,993.028,567,81.601,93728,3218,6339,934.885,143,22.595,0.72,NA,NA,NA,NA,NA,NA,NA
2020-12-19,1096621,157.823,6190,0.891,190027,27492.338,86909,1739,144.205,0.316,6535,940.498,536,77.14,96622,2894,6496,942.801,157,7.915,0.71,NA,NA,NA,NA,NA,NA,NA
2020-12-20,1100834,158.429,4213,0.606,191029,27516.228,86452,1002,23.89,0.309,6640,955.609,542,78.003,98026,1404,6551,951.148,55,8.347,0.69,NA,NA,NA,NA,NA,NA,NA
2020-12-21,1101624,158.543,790,0.114,191195,27700.011,84828,166,183.782,0.294,6624,953.307,536,77.14,99758,1732,6609,973.599,58,22.451,0.67,NA,NA,NA,NA,NA,NA,NA
2020-12-22,1105928,159.162,4304,0.619,192472,27958.917,83041,1277,258.907,0.286,6287,904.807,523,75.269,102666,2908,6765,990.006,156,16.407,0.65,NA,NA,NA,NA,NA,NA,NA
2020-12-23,1112161,160.059,6233,0.897,194271,28191.344,82302,1799,232.426,0.278,6123,881.204,526,75.7,105090,2424,6879,1004.253,114,14.248,0.63,NA,NA,NA,NA,NA,NA,NA
2020-12-24,1119106,NA,5242,NA,195886,28302.448,82443,1615,111.104,0.247,5714,822.342,533,76.708,106465,1375,6978,1010.73,99,6.476,0.62,NA,NA,NA,NA,NA,NA,NA
2020-12-25,1122775,161.587,2407,NA,196658,28339.434,81955,772,36.987,0.213,5671,816.154,521,74.981,107680,1215,7023,1017.926,45,7.196,0.62,NA,NA,NA,NA,NA,NA,NA
2020-12-26,1124847,161.885,1060,0.298,196915,28406.931,80976,257,67.497,0.225,5580,803.057,512,73.686,108866,1186,7073,1025.121,50,7.196,0.65,NA,NA,NA,NA,NA,NA,NA
2020-12-27,1127820,162.313,1759,0.428,197384,28454.712,80519,469,47.78,0.242,5545,798.02,523,75.269,109742,876,7123,1031.022,50,5.901,0.67,NA,NA,NA,NA,NA,NA,NA
2020-12-28,1130629,162.717,1905,0.404,197716,28503.212,79544,332,48.5,0.192,5571,801.762,523,75.269,111008,1266,7164,1043.543,41,12.521,0.69,NA,NA,NA,NA,NA,NA,NA
2020-12-29,1132996,163.057,1012,0.341,198053,28710.165,78319,337,206.953,0.193,5511,793.127,504,72.534,112483,1475,7251,1065.706,87,22.163,0.72,1719,1719,NA,NA,0.02,0.02,NA
2020-12-30,1141072,164.22,3696,1.162,199491,28958.997,76684,1438,248.833,0.185,5023,722.896,474,68.217,115402,2919,7405,1081.537,154,15.831,0.75,4608,4608,NA,2889,0.07,0.07,NA
2020-12-31,1149545,165.439,4604,1.219,201220,29109.535,75370,1729,150.537,0.175,4831,695.263,467,67.209,118335,2933,7515,1090.316,110,8.779,0.75,NA,NA,NA,NA,NA,NA,NA
2021-01-01,1155283,166.265,3591,0.826,202266,29148.968,75163,1046,39.433,0.173,4756,684.47,464,66.778,119527,1192,7576,1094.346,61,4.03,0.75,4739,4739,NA,NA,0.07,0.07,NA
2021-01-02,1157730,166.617,1831,0.352,202540,29197.9,74593,274,48.932,0.167,4747,683.174,462,66.49,120343,816,7604,1100.102,28,5.757,0.77,NA,NA,NA,NA,NA,NA,NA
2021-01-03,1160292,166.986,1844,0.369,202880,29222.509,73769,340,24.61,0.164,4786,688.787,458,65.914,121467,1124,7644,1104.995,40,4.893,0.79,NA,NA,NA,NA,NA,NA,NA
2021-01-04,1162942,167.367,1806,0.381,203051,29370.6,72962,171,148.091,0.187,4689,674.827,453,65.194,122411,944,7678,1127.59,34,22.595,0.81,NA,NA,NA,NA,NA,NA,NA
2021-01-05,1173704,168.916,5430,1.549,204080,29559.132,71621,1029,188.531,0.145,4405,633.955,411,59.15,124624,2213,7835,1137.233,157,9.642,0.82,5448,5448,NA,NA,0.08,0.08,NA
2021-01-06,1185140,170.562,11456,1.646,205390,29703.337,70722,1310,144.205,0.117,4286,616.829,393,56.559,126766,2142,7902,1145.724,67,8.491,0.81,7913,7913,NA,2465,0.11,0.11,NA
2021-01-07,1195226,172.013,10088,1.452,206392,29828.113,69642,1002,124.776,0.109,4262,613.375,379,54.545,128789,2023,7961,1153.783,59,8.059,0.81,11117,11117,NA,3204,0.16,0.16,NA
2021-01-08,1205134,173.439,9911,1.426,207259,29936.482,69051,867,108.37,0.11,4250,611.648,377,54.257,130191,1402,8017,1162.562,56,8.779,0.8,13355,13355,NA,2238,0.19,0.19,NA
2021-01-09,1215002,174.86,9871,1.42,208012,29993.186,65912,753,56.703,0.096,4186,602.437,380,54.688,134022,3831,8078,1165.297,61,2.734,0.78,13473,13473,NA,118,0.19,0.19,NA
2021-01-10,1220910,175.71,5910,0.85,208406,30008.297,65745,394,15.111,0.09,4190,603.013,380,54.688,134564,542,8097,1169.47,19,4.174,0.76,NA,NA,NA,NA,NA,NA,NA
2021-01-11,1222539,175.944,1629,0.234,208511,30097.525,65126,105,89.229,0.085,4205,605.171,380,54.688,135259,695,8126,1184.726,29,15.255,0.75,14161,14161,NA,NA,0.2,0.2,NA
2021-01-12,1230338,177.067,7804,1.122,209131,30205.463,63057,620,107.938,0.079,4046,582.289,375,53.969,137842,2583,8232,1191.49,106,6.764,0.74,15780,15780,NA,1619,0.23,0.23,NA
2021-01-13,1239980,178.454,9647,1.388,209881,30282.459,61054,750,76.996,0.073,3945,567.753,367,52.818,140548,2706,8279,1201.564,47,10.074,0.74,17038,17038,NA,1258,0.25,0.25,NA
2021-01-14,1247545,179.543,7570,1.089,210416,30359.455,58425,535,76.996,0.071,3681,529.759,348,50.083,143642,3094,8349,1208.328,70,6.764,0.75,17686,17686,NA,648,0.25,0.25,NA
2021-01-15,1254976,180.612,7439,1.069,210951,30438.897,52185,535,79.442,0.07,3631,522.563,343,49.364,150370,6728,8396,1217.107,47,8.779,0.77,18126,18126,NA,440,0.26,0.26,NA
2021-01-16,1263825,181.886,8850,1.274,211503,30472.429,47016,552,33.533,0.068,3500,503.71,343,49.364,156030,5660,8457,1219.553,61,2.447,0.78,18332,18332,NA,206,0.26,0.26,NA
2021-01-17,1268453,182.552,4628,0.666,211736,30483.511,46936,233,11.082,0.069,3485,501.551,340,48.932,156326,296,8474,1220.849,17,1.295,0.8,18453,18453,NA,121,0.27,0.27,NA
2021-01-18,1269647,182.724,1194,0.172,211813,30565.544,46608,77,82.033,0.069,3485,501.551,341,49.076,156722,396,8483,1232.65,9,11.801,0.81,19638,18524,1114,1185,0.28,0.27,0.02
2021-01-19,1277606,183.869,7964,1.145,212383,30643.835,39563,570,78.291,0.064,3312,476.653,329,47.349,164255,7533,8565,1239.702,82,7.052,0.82,22226,19058,3168,2588,0.32,0.27,0.05
2021-01-20,1285526,185.009,7921,1.14,212927,30713.203,33815,544,69.368,0.066,3223,463.845,318,45.766,170498,6243,8614,1245.027,49,5.325,0.85,24127,19834,4293,1901,0.35,0.29,0.06
2021-01-21,1293578,186.168,8057,1.159,213409,30778.685,29660,482,65.482,0.063,3220,463.413,327,47.061,175098,4600,8651,1257.979,37,12.953,0.89,25251,20719,4532,1124,0.36,0.3,0.07
2021-01-22,1301250,187.272,7674,1.104,213864,30860.142,27769,455,81.457,0.063,3045,438.228,297,42.743,177354,2256,8741,1266.326,90,8.347,0.93,26101,21496,4605,850,0.38,0.31,0.07
2021-01-23,1311036,188.68,9786,1.408,214430,30898.424,27029,566,38.282,0.063,2844,409.3,284,40.872,178602,1248,8799,1268.053,58,1.727,0.97,26119,21509,4610,18,0.38,0.31,0.07
2021-01-24,1315515,189.325,4479,0.645,214696,30915.838,26997,266,17.414,0.064,2857,411.171,281,40.441,178888,286,8811,1269.349,12,1.295,1.01,26143,21533,4610,24,0.38,0.31,0.07
2021-01-25,1316722,189.499,1207,0.174,214817,31026.942,26929,121,111.104,0.068,2874,413.618,283,40.729,179068,180,8820,1277.984,9,8.635,1.05,26798,22129,4669,655,0.39,0.32,0.07
2021-01-26,1330261,191.447,13540,1.948,215589,31145.961,26582,772,119.019,0.066,2822,406.134,279,40.153,180127,1059,8880,1283.165,60,5.181,1.07,29122,23667,5455,2324,0.42,0.34,0.08
2021-01-27,1345912,193.7,15656,2.252,216416,31232.024,26505,827,86.062,0.06,2818,405.558,281,40.441,180995,868,8916,1287.194,36,4.03,1.07,32917,25245,7672,3795,0.47,0.36,0.11
2021-01-28,1359188,195.61,13279,1.911,217014,31312.617,26448,598,80.594,0.057,2865,412.322,265,38.138,181622,627,8944,1291.368,28,4.174,1.09,37636,26753,10883,4719,0.54,0.39,0.16
2021-01-29,1371485,197.38,12297,1.77,217574,31412.64,25676,560,100.022,0.055,2877,414.049,257,36.987,182925,1303,8973,1296.405,29,5.037,1.11,40805,27856,12949,3169,0.59,0.4,0.19
2021-01-30,1385067,199.335,13583,1.955,218269,31462.867,25012,695,50.227,0.053,2848,409.876,261,37.562,184249,1324,9008,1299.284,35,2.878,1.12,41020,27957,13063,215,0.59,0.4,0.19
2021-01-31,1389599,199.987,4532,0.652,218618,31481.576,23987,349,18.709,0.053,2866,412.466,263,37.85,185603,1354,9028,1301.73,20,2.447,1.14,41125,28041,13084,105,0.59,0.4,0.19
2021-02-01,1391560,200.269,1962,0.282,218748,31601.315,22651,130,119.739,0.053,2886,415.345,264,37.994,187052,1449,9045,1315.69,17,13.96,1.17,42634,28978,13656,1509,0.61,0.42,0.2
2021-02-02,1403129,201.934,11576,1.665,219580,31740.483,21466,832,139.168,0.057,2850,410.164,265,38.138,188972,1920,9142,1320.871,97,5.181,1.18,45917,30817,15100,3283,0.66,0.44,0.22
2021-02-03,1414581,203.582,11452,1.648,220547,31843.959,20885,967,103.476,0.062,2901,417.503,279,40.153,190484,1512,9178,1326.628,36,5.757,1.19,50124,33691,16433,4207,0.72,0.48,0.24
2021-02-04,1424456,205.004,9876,1.421,221266,31971.038,20496,719,127.079,0.07,2969,427.29,284,40.872,191552,1068,9218,1334.399,40,7.772,1.21,54025,36929,17096,3901,0.78,0.53,0.25
2021-02-05,1434996,206.52,10541,1.517,222149,32102.003,20545,883,130.965,0.075,3033,436.501,277,39.865,192332,780,9272,1338.717,54,4.318,1.21,56860,39468,17392,2835,0.82,0.57,0.25
2021-02-06,1447456,NA,12463,NA,223059,32172.954,20727,910,70.951,0.087,3070,441.825,276,39.721,193030,698,9302,1340.012,30,1.295,1.21,57016,39624,17392,156,0.82,0.57,0.25
2021-02-07,1453189,NA,5733,NA,223552,32199.147,21050,493,26.193,0.084,3133,450.892,281,40.441,193191,161,9311,1342.89,9,2.878,1.22,57038,39646,17392,22,0.82,0.57,0.25
2021-02-08,1455852,209.522,2663,NA,223734,32359.614,21152,182,160.468,0.082,3126,449.885,278,40.009,193251,60,9331,1355.699,20,12.809,1.22,58888,41407,17481,1850,0.85,0.6,0.25
2021-02-09,1467489,NA,11637,NA,224849,32534.042,21374,1115,174.428,0.086,3057,439.955,274,39.433,194055,804,9420,1364.622,89,8.923,1.22,62428,44482,17946,3540,0.9,0.64,0.26
2021-02-10,1480714,NA,13228,NA,226061,32665.438,22065,1212,131.396,0.088,3129,450.317,266,38.282,194514,459,9482,1371.098,62,6.476,1.21,66163,47551,18612,3735,0.95,0.68,0.27
2021-02-11,1490877,214.563,10164,NA,226974,32819.429,22236,913,153.991,0.089,3230,464.852,273,39.289,195211,697,9527,1375.991,45,4.893,1.2,71123,51435,19688,4960,1.02,0.74,0.28
2021-02-12,1502690,216.263,11816,1.7,228044,32958.453,22801,1070,139.024,0.088,3297,474.495,293,42.168,195682,471,9561,1380.741,34,4.749,1.19,74694,54123,20571,3571,1.07,0.78,0.3
2021-02-13,1513852,NA,11164,NA,229010,33031.275,23212,966,72.822,0.086,3317,477.373,304,43.751,196204,522,9594,1382.755,33,2.015,1.19,75320,54646,20674,626,1.08,0.79,0.3
2021-02-14,1520384,218.809,6537,NA,229516,33054.734,23315,506,23.458,0.083,3375,485.72,302,43.463,196593,389,9608,1385.058,14,2.303,1.19,75388,54690,20698,68,1.08,0.79,0.3
2021-02-15,1522236,219.076,1852,0.267,229679,33208.437,23135,163,153.703,0.089,3425,492.916,301,43.319,196920,327,9624,1391.822,16,6.764,1.2,77436,56113,21323,2048,1.11,0.81,0.31
2021-02-16,1533321,220.671,11091,1.595,230747,33402.581,23500,1068,194.144,0.092,3421,492.34,289,41.592,197576,656,9671,1396.428,47,4.605,1.22,81338,58562,22776,3902,1.17,0.84,0.33
2021-02-17,1544924,222.341,11604,1.67,232096,33581.902,24069,1349,179.321,0.097,3513,505.581,284,40.872,198324,748,9703,1402.328,32,5.901,1.24,85920,61813,24107,4582,1.24,0.89,0.35
2021-02-18,1556468,224.002,11545,1.661,233342,33738.196,24710,1246,156.294,0.097,3613,519.972,296,42.599,198888,564,9744,1408.373,41,6.045,1.25,90514,65073,25441,4594,1.3,0.94,0.37
2021-02-19,1567390,225.574,10926,1.572,234428,33948.747,25010,1086,210.551,0.106,3704,533.069,300,43.175,199632,744,9786,1413.41,42,5.037,1.27,104268,77518,26750,13754,1.5,1.12,0.38
2021-02-20,1580691,227.488,13303,1.914,235891,34027.613,26092,1463,78.867,0.1,3775,543.287,316,45.478,199978,346,9821,1416,35,2.591,1.28,108356,81433,26923,4088,1.56,1.17,0.39
2021-02-21,1586386,228.308,5696,0.82,236439,34060.283,26462,548,32.669,0.106,3846,553.505,316,45.478,200138,160,9839,1418.159,18,2.159,1.3,119354,92381,26973,10998,1.72,1.33,0.39
2021-02-22,1589178,228.71,2792,0.402,236666,34337.323,26560,227,277.04,0.117,3880,558.398,321,46.197,200252,114,9854,1429.528,15,11.369,1.32,131063,103111,27952,11709,1.89,1.48,0.4
